ID_ALUNO;REGIAO;UF;SEXO;COR_RACA;IDADE;MORA_MAE;MORA_PAI;MERENDA;FOME;CIGARRO;ALCOOL;DROGAS
1;1;11;2;1;14;1;2;-1;1;2;1;2
2;1;11;1;4;16;1;1;5;1;2;2;2
3;1;11;1;1;13;1;1;-1;1;2;2;2
4;1;11;1;4;14;1;2;-1;1;2;1;2
5;1;11;1;1;14;2;1;-1;1;2;2;2
6;1;11;1;4;17;1;2;-1;1;1;1;1
7;1;11;2;4;14;1;2;-1;1;1;2;2
8;1;11;1;1;13;1;1;5;1;2;1;2
9;1;11;1;1;14;2;1;-1;3;2;1;2
10;1;11;2;1;15;1;1;5;1;2;2;2
11;1;11;2;1;14;1;1;-1;1;2;1;2
12;1;11;1;2;13;1;1;5;1;2;2;2
13;1;11;2;4;14;1;1;4;4;2;1;2
14;1;11;2;4;17;1;1;-1;2;2;2;2
15;1;11;1;2;14;1;1;-1;1;2;2;2
16;1;11;2;1;16;1;2;-1;1;2;1;2
17;1;11;1;1;14;1;1;1;1;2;2;2
18;1;11;1;2;14;1;1;-1;1;1;1;2
19;1;11;1;1;13;1;1;-1;1;2;2;2
20;1;11;1;3;18;1;1;5;3;2;2;2
21;1;11;1;2;14;1;1;-1;2;2;2;2
22;1;11;1;2;14;1;2;-1;1;1;1;1
23;1;11;1;2;15;2;2;-1;1;2;1;2
24;1;11;1;1;15;2;2;1;1;2;2;2
25;1;11;1;3;14;1;2;-1;1;2;1;2
26;1;11;1;2;13;1;1;-1;1;2;1;2
27;1;11;2;1;13;1;1;-1;1;2;1;2
28;1;11;1;1;14;1;1;-1;1;2;1;2
29;1;11;1;1;14;1;1;-1;1;2;2;2
30;1;11;1;1;15;1;2;-1;1;1;1;2
31;1;11;1;4;14;1;1;-1;1;2;1;2
32;1;11;2;2;12;1;1;-1;1;2;1;2
33;1;11;1;4;14;1;1;-1;1;2;2;2
34;1;11;1;1;14;1;2;-1;1;1;2;2
35;1;11;1;1;14;1;1;-1;1;2;2;2
36;1;11;2;4;13;1;2;-1;3;2;1;2
37;1;11;2;4;14;2;2;-1;1;1;1;1
38;1;11;1;4;15;1;1;-1;1;2;2;2
39;1;11;2;4;14;1;1;-1;2;2;2;2
40;1;11;1;1;13;1;1;-1;1;2;2;2
41;1;11;2;1;14;1;1;-1;1;2;2;2
42;1;11;2;4;13;1;2;-1;3;2;1;2
43;1;11;2;3;14;2;2;-1;2;2;1;2
44;1;11;1;1;14;1;1;-1;1;2;2;2
45;1;11;1;4;14;1;2;-1;1;2;1;2
46;1;11;2;4;14;1;2;-1;2;2;2;2
47;1;11;1;1;14;1;1;-1;1;2;2;2
48;1;11;2;4;14;1;2;-1;1;2;1;2
49;1;11;2;1;14;2;2;5;3;2;2;2
50;1;11;1;3;14;1;1;2;2;2;2;2
51;1;11;1;1;16;1;1;5;1;1;1;2
52;1;11;1;1;15;1;1;4;1;2;2;2
53;1;11;1;4;14;1;1;4;2;2;1;2
54;1;11;1;4;14;1;2;4;1;2;2;2
55;1;11;2;4;13;1;1;5;1;2;2;2
56;1;11;1;4;15;1;2;5;1;2;1;2
57;1;11;1;2;14;1;1;4;1;2;2;2
58;1;11;2;2;14;1;1;4;1;2;1;2
59;1;11;1;4;14;1;1;5;2;2;1;2
60;1;11;2;1;15;2;1;-1;1;1;1;2
61;1;11;1;1;14;1;1;4;1;2;2;2
62;1;11;1;4;14;1;1;3;1;2;2;2
63;1;11;2;4;13;1;1;4;2;2;2;2
64;1;11;2;4;13;1;1;4;1;2;2;2
65;1;11;1;4;15;1;1;5;1;2;2;2
66;1;11;2;4;16;1;2;4;1;1;1;2
67;1;11;2;2;14;2;1;4;1;2;2;2
68;1;11;1;4;14;1;2;4;1;2;1;1
69;1;11;1;1;14;1;1;1;2;2;2;2
70;1;11;2;1;13;1;1;5;1;2;1;2
71;1;11;1;4;16;1;1;4;1;2;1;2
72;1;11;1;4;14;1;2;5;1;2;2;2
73;1;11;2;4;13;1;1;4;1;2;2;2
